"No.","Time","Source","Destination","Protocol","Length","Info"
"146","10.796989856","192.168.56.101","192.168.56.102","TCP","60","61532  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"147","10.797761505","192.168.56.101","192.168.56.102","TCP","60","4444  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"148","10.797761626","192.168.56.101","192.168.56.102","TCP","60","65000  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"149","10.798148674","192.168.56.101","192.168.56.102","TCP","60","2121  >  55479 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
"150","10.798160197","192.168.56.102","192.168.56.101","TCP","54","55479  >  2121 [RST] Seq=1 Win=0 Len=0"
"151","10.798334222","192.168.56.101","192.168.56.102","TCP","60","1641  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"152","10.798573725","192.168.56.101","192.168.56.102","TCP","60","50000  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"153","10.798774409","192.168.56.101","192.168.56.102","TCP","60","2020  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"154","10.798953580","192.168.56.101","192.168.56.102","TCP","60","2030  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"155","10.799089608","192.168.56.101","192.168.56.102","TCP","60","2910  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"156","10.799311254","192.168.56.101","192.168.56.102","TCP","60","5906  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"157","10.799311348","192.168.56.101","192.168.56.102","TCP","60","1164  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"158","10.799573088","192.168.56.101","192.168.56.102","TCP","60","1106  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"159","10.799718684","192.168.56.101","192.168.56.102","TCP","60","3211  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"160","10.799803394","192.168.56.102","192.168.56.101","TCP","58","55479  >  1248 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"161","10.799838957","192.168.56.102","192.168.56.101","TCP","58","55479  >  1687 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"162","10.799881008","192.168.56.102","192.168.56.101","TCP","58","55479  >  636 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"163","10.799904694","192.168.56.102","192.168.56.101","TCP","58","55479  >  32772 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"164","10.799937913","192.168.56.102","192.168.56.101","TCP","58","55479  >  6689 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"165","10.799998050","192.168.56.102","192.168.56.101","TCP","58","55479  >  2401 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"166","10.800060828","192.168.56.102","192.168.56.101","TCP","58","55479  >  81 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"167","10.800100381","192.168.56.102","192.168.56.101","TCP","58","55479  >  444 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"168","10.800135861","192.168.56.102","192.168.56.101","TCP","58","55479  >  3351 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"169","10.800174778","192.168.56.102","192.168.56.101","TCP","58","55479  >  89 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"170","10.800207153","192.168.56.102","192.168.56.101","TCP","58","55479  >  5904 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"171","10.800231516","192.168.56.102","192.168.56.101","TCP","58","55479  >  1100 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"172","10.800262075","192.168.56.102","192.168.56.101","TCP","58","55479  >  2001 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"173","10.800285785","192.168.56.102","192.168.56.101","TCP","58","55479  >  4446 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"174","10.800317212","192.168.56.102","192.168.56.101","TCP","58","55479  >  10003 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"175","10.800341067","192.168.56.102","192.168.56.101","TCP","58","55479  >  1935 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"176","10.800372218","192.168.56.102","192.168.56.101","TCP","58","55479  >  9003 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"177","10.800644640","192.168.56.102","192.168.56.101","TCP","58","55479  >  8651 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"178","10.800744149","192.168.56.102","192.168.56.101","TCP","58","55479  >  5405 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"179","10.800770552","192.168.56.102","192.168.56.101","TCP","58","55479  >  646 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"180","10.800800012","192.168.56.102","192.168.56.101","TCP","58","55479  >  1097 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"181","10.800821975","192.168.56.102","192.168.56.101","TCP","58","55479  >  30 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"182","10.800867056","192.168.56.102","192.168.56.101","TCP","58","55479  >  3324 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"183","10.800890730","192.168.56.102","192.168.56.101","TCP","58","55479  >  3017 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"184","10.800923181","192.168.56.102","192.168.56.101","TCP","58","55479  >  60020 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"185","10.800947366","192.168.56.102","192.168.56.101","TCP","58","55479  >  3333 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"186","10.800977220","192.168.56.102","192.168.56.101","TCP","58","55479  >  9898 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"187","10.801001434","192.168.56.102","192.168.56.101","TCP","58","55479  >  5631 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"188","10.801032017","192.168.56.102","192.168.56.101","TCP","58","55479  >  981 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"189","10.801055162","192.168.56.102","192.168.56.101","TCP","58","55479  >  5102 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"190","10.801085741","192.168.56.102","192.168.56.101","TCP","58","55479  >  64623 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
